"","scaffold","start","end","mid","sites","pi_meg","pi_toro","dxy_meg_toro","Fst_meg_toro","windowID"
"59","scaffold_0",2900001,2950000,2926108,5417,0.0947,0.0928,0.1058,0.061,59
"60","scaffold_0",2950001,3000000,2975034,5263,0.0704,0.0678,0.0781,0.0618,60
"61","scaffold_0",3000001,3050000,3024836,5632,0.1026,0.0972,0.1059,0.0296,61
"62","scaffold_0",3050001,3100000,3074702,5263,0.0694,0.0701,0.074,0.03,62
"63","scaffold_0",3100001,3150000,3125926,4976,0.0568,0.0493,0.0636,0.0907,63
"64","scaffold_0",3150001,3200000,3175047,4791,0.0562,0.0695,0.0717,0.0675,64
"65","scaffold_0",3200001,3250000,3225259,5100,0.0576,0.0834,0.0771,0.0466,65
"66","scaffold_0",3250001,3300000,3277542,5202,0.055,0.0456,0.0588,0.0788,66
"67","scaffold_0",3300001,3350000,3325622,5109,0.0657,0.0672,0.0767,0.0724,67
"68","scaffold_0",3350001,3400000,3374856,5383,0.085,0.0881,0.0974,0.0601,68
"69","scaffold_0",3400001,3450000,3426889,4794,0.0582,0.0532,0.066,0.0852,69
"70","scaffold_0",3450001,3500000,3475949,4121,0.0837,0.07,0.0872,0.0638,70
"71","scaffold_0",3500001,3550000,3526028,5223,0.0558,0.0578,0.0676,0.0881,71
"72","scaffold_0",3550001,3600000,3575219,4448,0.0723,0.0686,0.0802,0.0659,72
"73","scaffold_0",3600001,3650000,3625448,4429,0.0688,0.0669,0.0763,0.0596,73
"74","scaffold_0",3650001,3700000,3675359,4721,0.0482,0.0596,0.0628,0.0788,74
"75","scaffold_0",3700001,3750000,3725505,4335,0.0518,0.0527,0.0575,0.0481,75
"76","scaffold_0",3750001,3800000,3773569,4567,0.0639,0.0671,0.0807,0.1059,76
"77","scaffold_0",3800001,3850000,3825447,5471,0.0678,0.065,0.0778,0.0802,77
"78","scaffold_0",3850001,3900000,3874489,5182,0.0885,0.0772,0.0973,0.0812,78
"79","scaffold_0",3900001,3950000,3923618,5768,0.0613,0.0796,0.0805,0.0686,79
"80","scaffold_0",3950001,4000000,3976646,6008,0.057,0.0525,0.0623,0.0652,80
"81","scaffold_0",4000001,4050000,4026563,6953,0.0589,0.0556,0.0682,0.0884,81
"82","scaffold_0",4050001,4100000,4075029,5758,0.0753,0.0733,0.0861,0.0744,82
"83","scaffold_0",4100001,4150000,4125607,5793,0.068,0.0637,0.0779,0.0849,83
"84","scaffold_0",4150001,4200000,4175647,6954,0.0518,0.0436,0.0545,0.0673,84
"85","scaffold_0",4200001,4250000,4224787,5782,0.0669,0.0573,0.0721,0.0749,85
"86","scaffold_0",4250001,4300000,4275725,6113,0.0752,0.0733,0.0822,0.0515,86
"87","scaffold_0",4300001,4350000,4327366,7573,0.0308,0.03,0.0359,0.0842,87
"88","scaffold_0",4350001,4400000,4372458,6385,0.0396,0.0412,0.0463,0.0696,88
"89","scaffold_0",4400001,4450000,4425406,5629,0.0539,0.0575,0.0635,0.0665,89
"90","scaffold_0",4450001,4500000,4476041,5485,0.0536,0.0444,0.058,0.0845,90
"91","scaffold_0",4500001,4550000,4525168,6465,0.0392,0.0373,0.044,0.0712,91
"92","scaffold_0",4550001,4600000,4576211,6426,0.0437,0.0414,0.0518,0.0988,92
"93","scaffold_0",4600001,4650000,4623602,5214,0.0801,0.0892,0.095,0.0592,93
"94","scaffold_0",4650001,4700000,4675416,6878,0.0513,0.0488,0.0592,0.0845,94
"95","scaffold_0",4700001,4750000,4725801,5922,0.0752,0.0674,0.0807,0.0625,95
"96","scaffold_0",4750001,4800000,4773513,5246,0.0569,0.0543,0.066,0.0864,96
"97","scaffold_0",4800001,4850000,4824927,5813,0.0526,0.0528,0.0637,0.0957,97
"98","scaffold_0",4850001,4900000,4874089,6349,0.0631,0.0581,0.0699,0.0719,98
"99","scaffold_0",4900001,4950000,4925838,6110,0.06,0.0467,0.0597,0.0565,99
"100","scaffold_0",4950001,5000000,4975333,6600,0.0442,0.0422,0.0487,0.0607,100
"101","scaffold_0",5000001,5050000,5025496,6655,0.0413,0.0434,0.048,0.0633,101
"102","scaffold_0",5050001,5100000,5074401,6055,0.0541,0.0498,0.0589,0.0636,102
"103","scaffold_0",5100001,5150000,5126592,6822,0.0539,0.0509,0.0568,0.0407,103
"104","scaffold_0",5150001,5200000,5175460,5805,0.0603,0.0535,0.064,0.0591,104
"105","scaffold_0",5200001,5250000,5227323,5301,0.0637,0.054,0.0691,0.0808,105
"106","scaffold_0",5250001,5300000,5273740,6456,0.0564,0.0581,0.0647,0.0621,106
"107","scaffold_0",5300001,5350000,5325108,6475,0.0575,0.053,0.0619,0.0577,107
"108","scaffold_0",5350001,5400000,5375472,6545,0.0581,0.0516,0.0667,0.0981,108
"109","scaffold_0",5400001,5450000,5424942,5770,0.0595,0.0591,0.0656,0.0509,109
"110","scaffold_0",5450001,5500000,5474495,5887,0.06,0.0631,0.0713,0.0748,110
"111","scaffold_0",5500001,5550000,5524848,5167,0.0688,0.0762,0.0879,0.0977,111
"112","scaffold_0",5550001,5600000,5576531,7371,0.0511,0.0487,0.0564,0.0621,112
"113","scaffold_0",5600001,5650000,5624125,6030,0.0871,0.0646,0.0872,0.0694,113
"114","scaffold_0",5650001,5700000,5673791,7038,0.0397,0.0387,0.0455,0.076,114
"115","scaffold_0",5700001,5750000,5722391,5229,0.0667,0.0556,0.0692,0.0618,115
"116","scaffold_0",5750001,5800000,5774909,5182,0.0624,0.0632,0.0714,0.0652,116
"117","scaffold_0",5800001,5850000,5825389,5157,0.0479,0.0591,0.0568,0.0305,117
"118","scaffold_0",5850001,5900000,5875673,5734,0.0704,0.0659,0.079,0.0748,118
"119","scaffold_0",5900001,5950000,5922159,6100,0.0436,0.0334,0.0428,0.0525,119
"120","scaffold_0",5950001,6000000,5975124,6615,0.0534,0.0578,0.0617,0.0531,120
"121","scaffold_0",6000001,6050000,6025499,6615,0.0363,0.0364,0.0409,0.0594,121
"122","scaffold_0",6050001,6100000,6076027,6454,0.0679,0.0626,0.0721,0.0502,122
"123","scaffold_0",6100001,6150000,6125056,5865,0.0628,0.0547,0.0677,0.0713,123
"124","scaffold_0",6150001,6200000,6174290,4975,0.0839,0.0661,0.086,0.0684,124
"125","scaffold_0",6200001,6250000,6226289,5256,0.0596,0.0604,0.0691,0.0715,125
"126","scaffold_0",6250001,6300000,6273742,5767,0.0629,0.0623,0.0706,0.061,126
"127","scaffold_0",6300001,6350000,6323966,5374,0.0577,0.0595,0.07,0.09,127
"128","scaffold_0",6350001,6400000,6375267,5018,0.0703,0.0865,0.0856,0.045,128
"129","scaffold_0",6400001,6450000,6424904,5450,0.0548,0.0594,0.0672,0.0829,129
"130","scaffold_0",6450001,6500000,6473594,4646,0.0683,0.053,0.0653,0.0367,130
"131","scaffold_0",6500001,6550000,6525670,5263,0.0643,0.0583,0.0724,0.0837,131
"132","scaffold_0",6550001,6600000,6575360,5857,0.059,0.0536,0.0636,0.0611,132
"133","scaffold_0",6600001,6650000,6625318,6476,0.0561,0.0512,0.0589,0.047,133
"134","scaffold_0",6650001,6700000,6675004,5713,0.0624,0.0637,0.0767,0.0987,134
"135","scaffold_0",6700001,6750000,6723346,5925,0.0428,0.04,0.0504,0.0993,135
"136","scaffold_0",6750001,6800000,6776795,5529,0.0602,0.0665,0.0731,0.0731,136
"137","scaffold_0",6800001,6850000,6822314,5110,0.0733,0.0734,0.0828,0.0613,137
"138","scaffold_0",6850001,6900000,6873557,5397,0.0626,0.0504,0.0674,0.0883,138
"139","scaffold_0",6900001,6950000,6925332,5613,0.0637,0.0631,0.0739,0.0776,139
"140","scaffold_0",6950001,7000000,6974992,6198,0.0891,0.0935,0.1001,0.047,140
"141","scaffold_0",7000001,7050000,7025057,5393,0.0768,0.0681,0.0808,0.0547,141
"142","scaffold_0",7050001,7100000,7073678,6142,0.0674,0.0552,0.0699,0.0661,142
"143","scaffold_0",7100001,7150000,7125434,6080,0.0561,0.0567,0.0651,0.0723,143
"144","scaffold_0",7150001,7200000,7175878,6407,0.0655,0.0554,0.0701,0.0745,144
"145","scaffold_0",7200001,7250000,7224007,5517,0.0544,0.0626,0.0669,0.0683,145
"146","scaffold_0",7250001,7300000,7275293,5720,0.0706,0.0633,0.0791,0.0841,146
"147","scaffold_0",7300001,7350000,7325445,6275,0.0666,0.0613,0.0691,0.0394,147
"148","scaffold_0",7350001,7400000,7375049,5423,0.0617,0.062,0.0726,0.0815,148
"149","scaffold_0",7400001,7450000,7424199,5804,0.0583,0.0596,0.0678,0.0707,149
"150","scaffold_0",7450001,7500000,7474712,5953,0.063,0.0559,0.0663,0.0555,150
"151","scaffold_0",7500001,7550000,7526326,6499,0.0535,0.0484,0.0579,0.0645,151
"152","scaffold_0",7550001,7600000,7574244,5439,0.0615,0.056,0.0676,0.0706,152
"153","scaffold_0",7600001,7650000,7626014,5287,0.0687,0.0599,0.078,0.0969,153
"154","scaffold_0",7650001,7700000,7673227,5798,0.0638,0.0639,0.0729,0.0677,154
"155","scaffold_0",7700001,7750000,7726387,5092,0.0677,0.0774,0.0819,0.0616,155
"156","scaffold_0",7750001,7800000,7776651,5082,0.0965,0.0886,0.1074,0.0749,156
"157","scaffold_0",7800001,7850000,7824783,5789,0.0576,0.0496,0.0613,0.0678,157
"158","scaffold_0",7850001,7900000,7873182,6676,0.0833,0.0838,0.0935,0.057,158
"159","scaffold_0",7900001,7950000,7925369,6050,0.0551,0.0602,0.071,0.106,159
"160","scaffold_0",7950001,8000000,7972714,6117,0.054,0.0594,0.0641,0.0626,160
"161","scaffold_0",8000001,8050000,8032160,15800,0.0237,0.0232,0.025,0.0307,161
"162","scaffold_0",8050001,8100000,8076243,5876,0.0789,0.0815,0.0969,0.0957,162
"163","scaffold_0",8100001,8150000,8126313,6164,0.0697,0.0536,0.0735,0.0878,163
"164","scaffold_0",8150001,8200000,8175051,6928,0.0511,0.0463,0.0565,0.0751,164
"165","scaffold_0",8200001,8250000,8225162,5979,0.0629,0.0485,0.0626,0.0586,165
"166","scaffold_0",8250001,8300000,8274978,5399,0.0633,0.0687,0.0857,0.1322,166
"167","scaffold_0",8300001,8350000,8325182,4871,0.0569,0.0568,0.0702,0.1067,167
"168","scaffold_0",8350001,8400000,8375814,5565,0.0619,0.0605,0.0731,0.0897,168
"169","scaffold_0",8400001,8450000,8424274,5232,0.0638,0.0665,0.0757,0.0762,169
"170","scaffold_0",8450001,8500000,8476402,6062,0.0653,0.0635,0.0729,0.0624,170
"171","scaffold_0",8500001,8550000,8522782,6332,0.0726,0.0889,0.0937,0.0761,171
"172","scaffold_0",8550001,8600000,8572975,6006,0.0927,0.1006,0.1041,0.0377,172
"173","scaffold_0",8600001,8650000,8626398,6295,0.0599,0.0705,0.0791,0.0984,173
"174","scaffold_0",8650001,8700000,8674956,5989,0.0563,0.0522,0.0672,0.1079,174
"175","scaffold_0",8700001,8750000,8727595,6668,0.0462,0.0406,0.0501,0.0728,175
"176","scaffold_0",8750001,8800000,8775879,6652,0.0437,0.0389,0.0517,0.1123,176
"177","scaffold_0",8800001,8850000,8825337,6139,0.0435,0.0427,0.0517,0.0921,177
"178","scaffold_0",8850001,8900000,8875391,5200,0.0542,0.0617,0.0671,0.075,178
"179","scaffold_0",8900001,8950000,8925411,6193,0.0849,0.0891,0.0981,0.061,179
"180","scaffold_0",8950001,9000000,8974595,6659,0.0468,0.0513,0.058,0.0854,180
"181","scaffold_0",9000001,9050000,9024638,5642,0.0579,0.0747,0.0802,0.0971,181
"182","scaffold_0",9050001,9100000,9073863,5384,0.06,0.0579,0.079,0.147,182
"183","scaffold_0",9100001,9150000,9125527,5348,0.0499,0.0526,0.0642,0.1145,183
"184","scaffold_0",9150001,9200000,9175515,5251,0.0543,0.052,0.0644,0.0966,184
"185","scaffold_0",9200001,9250000,9226760,5867,0.0507,0.0498,0.0684,0.1551,185
"186","scaffold_0",9250001,9300000,9276070,5057,0.0433,0.045,0.0611,0.1636,186
"187","scaffold_0",9300001,9350000,9324907,5287,0.053,0.0488,0.0662,0.1319,187
"188","scaffold_0",9350001,9400000,9373268,4872,0.0397,0.05,0.0562,0.115,188
"189","scaffold_0",9400001,9450000,9424742,4795,0.045,0.0505,0.0584,0.1027,189
"190","scaffold_0",9450001,9500000,9475072,6168,0.0286,0.0499,0.0563,0.1858,190
"191","scaffold_0",9500001,9550000,9524206,5717,0.0479,0.0644,0.0728,0.1323,191
"192","scaffold_0",9550001,9600000,9574023,4610,0.0365,0.0541,0.0857,0.3168,192
"193","scaffold_0",9600001,9650000,9623546,5081,0.0336,0.0453,0.0599,0.2109,193
"194","scaffold_0",9650001,9700000,9672715,5168,0.0497,0.046,0.0626,0.1352,194
"195","scaffold_0",9700001,9750000,9726986,4218,0.0411,0.0617,0.0664,0.1316,195
"196","scaffold_0",9750001,9800000,9776187,5172,0.0335,0.0526,0.0555,0.1313,196
"197","scaffold_0",9800001,9850000,9825564,5365,0.0146,0.0327,0.0439,0.3127,197
"198","scaffold_0",9850001,9900000,9874976,6390,0.026,0.0498,0.056,0.2012,198
"199","scaffold_0",9900001,9950000,9924228,5768,0.0406,0.0488,0.0674,0.2069,199
"200","scaffold_0",9950001,10000000,9976379,5554,0.0322,0.0458,0.0565,0.1889,200
"201","scaffold_0",10000001,10050000,10026406,5395,0.0217,0.0503,0.0595,0.2577,201
"202","scaffold_0",10050001,10100000,10074751,5255,0.0432,0.0515,0.0727,0.2154,202
"203","scaffold_0",10100001,10150000,10123806,5703,0.0359,0.0428,0.0589,0.2036,203
"204","scaffold_0",10150001,10200000,10176600,5821,0.031,0.0389,0.0497,0.1784,204
"205","scaffold_0",10200001,10250000,10224266,5025,0.04,0.0476,0.0689,0.227,205
"206","scaffold_0",10250001,10300000,10274607,5545,0.038,0.0417,0.0614,0.2167,206
"207","scaffold_0",10300001,10350000,10326314,5024,0.0435,0.0615,0.0702,0.1487,207
"208","scaffold_0",10350001,10400000,10374083,4817,0.0269,0.0386,0.0528,0.2403,208
"209","scaffold_0",10400001,10450000,10426209,4680,0.0182,0.0433,0.0545,0.2917,209
"210","scaffold_0",10450001,10500000,10474646,4638,0.0214,0.0611,0.0663,0.2452,210
"211","scaffold_0",10500001,10550000,10525747,4518,0.0131,0.053,0.0587,0.2965,211
"212","scaffold_0",10550001,10600000,10575793,4445,0.0143,0.0562,0.0693,0.3449,212
"213","scaffold_0",10600001,10650000,10624551,5310,0.0145,0.0429,0.0578,0.3526,213
"214","scaffold_1",1,50000,24580,5809,0.0643,0.0644,0.077,0.0907,214
"215","scaffold_1",50001,100000,74093,5337,0.0892,0.0897,0.0998,0.0556,215
"216","scaffold_1",100001,150000,124483,5581,0.0727,0.08,0.0895,0.0809,216
"217","scaffold_1",150001,200000,175319,4962,0.079,0.0711,0.0869,0.0738,217
"218","scaffold_1",200001,250000,226686,5213,0.0611,0.0502,0.0635,0.066,218
"219","scaffold_1",250001,300000,274719,4643,0.0684,0.061,0.0717,0.0518,219
"220","scaffold_1",300001,350000,323933,4654,0.0746,0.0878,0.0949,0.0793,220
"221","scaffold_1",350001,400000,374453,5956,0.0551,0.0586,0.0654,0.0709,221
"222","scaffold_1",400001,450000,423914,4992,0.058,0.0601,0.0698,0.0849,222
"223","scaffold_1",450001,500000,473676,4391,0.1068,0.0943,0.116,0.0718,223
"224","scaffold_1",500001,550000,522982,4755,0.0721,0.074,0.0856,0.0808,224
"225","scaffold_1",550001,600000,575109,4420,0.1016,0.101,0.1146,0.0624,225
"226","scaffold_1",600001,650000,625351,5210,0.0645,0.0618,0.0742,0.0815,226
"227","scaffold_1",650001,700000,675058,5248,0.0829,0.0865,0.099,0.0793,227
"228","scaffold_1",700001,750000,724216,6434,0.0575,0.0585,0.0647,0.0559,228
"229","scaffold_1",750001,800000,773791,5495,0.0789,0.0791,0.0897,0.0644,229
"230","scaffold_1",800001,850000,825480,5176,0.0796,0.0896,0.0948,0.0582,230
"231","scaffold_1",850001,900000,875594,5956,0.0738,0.0801,0.0885,0.0713,231
"232","scaffold_1",900001,950000,925093,5187,0.0741,0.0634,0.0841,0.1014,232
"233","scaffold_1",950001,1000000,975427,5174,0.0613,0.0575,0.0686,0.0724,233
"234","scaffold_1",1000001,1050000,1024391,5018,0.0927,0.0853,0.0985,0.0508,234
"235","scaffold_1",1050001,1100000,1075587,5058,0.0802,0.0747,0.0869,0.0581,235
"236","scaffold_1",1100001,1150000,1125553,5737,0.0986,0.1099,0.1162,0.0555,236
"237","scaffold_1",1150001,1200000,1174119,4812,0.1221,0.1359,0.1399,0.0412,237
"238","scaffold_1",1200001,1250000,1224794,5355,0.0825,0.0793,0.0913,0.0612,238
"239","scaffold_1",1250001,1300000,1274779,5221,0.0871,0.0862,0.0997,0.0711,239
"240","scaffold_1",1300001,1350000,1325067,5223,0.094,0.0787,0.0991,0.0692,240
"241","scaffold_1",1350001,1400000,1373603,5319,0.0633,0.0579,0.07,0.0729,241
"242","scaffold_1",1400001,1450000,1425789,5112,0.0822,0.0868,0.0997,0.084,242
"243","scaffold_1",1450001,1500000,1474053,4987,0.0972,0.0892,0.107,0.0697,243
"244","scaffold_1",1500001,1550000,1524217,6075,0.0692,0.0759,0.0841,0.0752,244
"245","scaffold_1",1550001,1600000,1576240,5539,0.0707,0.0615,0.0761,0.0712,245
"246","scaffold_1",1600001,1650000,1626592,5499,0.0899,0.0817,0.0969,0.0614,246
"247","scaffold_1",1650001,1700000,1675662,4429,0.0839,0.0779,0.0963,0.0881,247
"248","scaffold_1",1700001,1750000,1725659,4607,0.1129,0.1086,0.1269,0.0685,248
"249","scaffold_1",1750001,1800000,1776169,4650,0.0686,0.0596,0.0745,0.0753,249
"250","scaffold_1",1800001,1850000,1824931,4856,0.081,0.0904,0.097,0.0632,250
"251","scaffold_1",1850001,1900000,1874085,4336,0.0837,0.0823,0.0923,0.0537,251
"252","scaffold_1",1900001,1950000,1923934,4368,0.0642,0.0615,0.0713,0.0639,252
"253","scaffold_1",1950001,2000000,1976566,4994,0.1113,0.1021,0.1138,0.0323,253
"254","scaffold_1",2000001,2050000,2025425,4359,0.0658,0.0765,0.0831,0.0792,254
"255","scaffold_1",2050001,2100000,2075677,4105,0.0872,0.077,0.0901,0.047,255
"256","scaffold_1",2100001,2150000,2125424,4182,0.0752,0.0727,0.0888,0.0926,256
"257","scaffold_1",2150001,2200000,2174282,4619,0.0593,0.062,0.07,0.0725,257
"258","scaffold_1",2200001,2250000,2225323,5023,0.0671,0.0621,0.0766,0.0861,258
"259","scaffold_1",2250001,2300000,2273647,4547,0.0656,0.0632,0.0725,0.0596,259
"260","scaffold_1",2300001,2350000,2327169,5995,0.0864,0.0837,0.091,0.0344,260
"261","scaffold_1",2350001,2400000,2374495,5639,0.1091,0.1062,0.1204,0.0564,261
"262","scaffold_1",2400001,2450000,2425379,5792,0.08,0.0747,0.0823,0.0313,262
"263","scaffold_1",2450001,2500000,2476126,6854,0.0389,0.0444,0.0471,0.0625,263
"264","scaffold_1",2500001,2550000,2524183,5516,0.0568,0.0616,0.0678,0.0688,264
"265","scaffold_1",2550001,2600000,2574295,5430,0.0459,0.0493,0.0587,0.1063,265
"266","scaffold_1",2600001,2650000,2625338,5334,0.0669,0.0668,0.0709,0.0296,266
"267","scaffold_1",2650001,2700000,2678332,5716,0.0803,0.0709,0.085,0.0588,267
"268","scaffold_1",2700001,2750000,2725661,6648,0.0621,0.0529,0.0626,0.0424,268
"269","scaffold_1",2750001,2800000,2773957,5007,0.0698,0.0546,0.0678,0.0435,269
"270","scaffold_1",2800001,2850000,2826180,4823,0.0752,0.0709,0.084,0.0705,270
"271","scaffold_1",2850001,2900000,2874891,4664,0.0583,0.0695,0.0754,0.0844,271
"272","scaffold_1",2900001,2950000,2925114,4626,0.0988,0.0958,0.1058,0.0425,272
"273","scaffold_1",2950001,3000000,2974377,4868,0.0666,0.0648,0.073,0.0532,273
"274","scaffold_1",3000001,3050000,3025786,5117,0.0951,0.0947,0.106,0.0561,274
"275","scaffold_1",3050001,3100000,3073992,4788,0.0599,0.0522,0.0662,0.0832,275
"276","scaffold_1",3100001,3150000,3125136,4583,0.0786,0.0652,0.0849,0.0834,276
"277","scaffold_1",3150001,3200000,3174583,4814,0.0517,0.0558,0.0587,0.0446,277
"278","scaffold_1",3200001,3250000,3225031,4256,0.0642,0.0775,0.0853,0.0946,278
"279","scaffold_1",3250001,3300000,3275194,4616,0.0478,0.0578,0.0599,0.0651,279
"280","scaffold_1",3300001,3350000,3325090,4774,0.0886,0.049,0.0727,0.0273,280
"281","scaffold_1",3350001,3400000,3374648,4408,0.0975,0.0907,0.1032,0.0464,281
"282","scaffold_1",3400001,3450000,3425776,4786,0.0623,0.0686,0.0723,0.0513,282
"283","scaffold_1",3450001,3500000,3473903,4262,0.0593,0.0654,0.0754,0.0961,283
"284","scaffold_1",3500001,3550000,3526014,4325,0.0591,0.0491,0.0691,0.1228,284
"285","scaffold_1",3550001,3600000,3575051,4037,0.0607,0.0563,0.0676,0.0726,285
"286","scaffold_1",3600001,3650000,3624244,4650,0.038,0.0437,0.0483,0.0852,286
"287","scaffold_1",3650001,3700000,3674816,4798,0.0669,0.0573,0.0656,0.0278,287
"288","scaffold_1",3700001,3750000,3722820,5370,0.0616,0.0462,0.0625,0.0741,288
"289","scaffold_1",3750001,3800000,3776030,4790,0.0787,0.0922,0.0953,0.0557,289
"290","scaffold_1",3800001,3850000,3824355,4686,0.0478,0.0586,0.0591,0.0543,290
"291","scaffold_1",3850001,3900000,3874353,4164,0.0608,0.0555,0.0713,0.1028,291
"292","scaffold_1",3900001,3950000,3924616,4133,0.0774,0.0666,0.0871,0.0958,292
"293","scaffold_1",3950001,4000000,3979260,4934,0.0515,0.0461,0.058,0.0869,293
"294","scaffold_1",4000001,4050000,4025751,5207,0.0491,0.0521,0.0595,0.083,294
"295","scaffold_1",4050001,4100000,4077064,5988,0.0541,0.0418,0.0532,0.0517,295
"296","scaffold_1",4100001,4150000,4125251,6292,0.0462,0.0417,0.0527,0.0914,296
"297","scaffold_1",4150001,4200000,4174041,5471,0.0572,0.0662,0.0704,0.0676,297
"298","scaffold_1",4200001,4250000,4225037,4873,0.0819,0.0735,0.0951,0.1014,298
"299","scaffold_1",4250001,4300000,4275476,4854,0.0815,0.087,0.0908,0.038,299
"300","scaffold_1",4300001,4350000,4325160,5281,0.0809,0.0758,0.0933,0.0879,300
